Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Nigeria,Oyo,Ibadan South East,NGA,NG031009,NG03,January,1997,0,0
Nigeria,Rivers,Bonny,NGA,NG033007,NG03,January,1997,0,0
Nigeria,Benue,Guma,NGA,NG007006,NG00,January,1997,0,0
Nigeria,Akwa Ibom,Ukanafun,NGA,NG003028,NG00,January,1997,0,0
Nigeria,Zamfara,Anka,NGA,NG037001,NG03,January,1997,0,0
Nigeria,Oyo,Afijio,NGA,NG031001,NG03,January,1997,0,0
Nigeria,Ondo,Ile-Oluji-Okeigbo,NGA,NG029011,NG02,January,1997,0,0
Nigeria,Osun,Iwo,NGA,NG030023,NG03,January,1997,0,0
Nigeria,Osun,Ife Central,NGA,NG030011,NG03,January,1997,0,0
Nigeria,Gombe,Akko,NGA,NG016001,NG01,January,1997,0,0
Nigeria,Kaduna,Kaduna North,NGA,NG019009,NG01,January,1997,0,0
Nigeria,Enugu,Enugu South,NGA,NG014005,NG01,January,1997,0,0
Nigeria,Delta,Ndokwa East,NGA,NG010011,NG01,January,1997,0,0
Nigeria,Ondo,Akoko North East,NGA,NG029001,NG02,January,1997,0,0
Nigeria,Katsina,Jibia,NGA,NG021016,NG02,January,1997,0,0
Nigeria,Kano,Gwale,NGA,NG020018,NG02,January,1997,0,0
Nigeria,Kaduna,Chikun,NGA,NG019002,NG01,January,1997,0,0
Nigeria,Kogi,Olamaboro,NGA,NG023018,NG02,January,1997,0,0
Nigeria,Abia,Isiala Ngwa South,NGA,NG001006,NG00,January,1997,0,0
Nigeria,Bayelsa,Sagbama,NGA,NG006006,NG00,January,1997,0,0
Nigeria,Abia,Ikwuano,NGA,NG001005,NG00,January,1997,0,0
Nigeria,Rivers,Port Harcourt,NGA,NG033022,NG03,January,1997,0,0
Nigeria,Zamfara,Talata Mafara,NGA,NG037012,NG03,January,1997,0,0
Nigeria,Enugu,Aninri,NGA,NG014001,NG01,January,1997,0,0
Nigeria,Federal Capital Territory,Abuja Municipal,NGA,NG015002,NG01,January,1997,1,0
Nigeria,Abia,Nneochi,NGA,NG001017,NG00,January,1997,0,0
Nigeria,Imo,Nkwangele,NGA,NG017015,NG01,January,1997,0,0
Nigeria,Imo,Ideato South,NGA,NG017006,NG01,January,1997,0,0
Nigeria,Ekiti,Efon,NGA,NG013003,NG01,January,1997,0,0
Nigeria,Katsina,Danja,NGA,NG021009,NG02,January,1997,0,0
Nigeria,Rivers,Etche,NGA,NG033011,NG03,January,1997,0,0
Nigeria,Niger,Lapai,NGA,NG027012,NG02,January,1997,0,0
Nigeria,Bayelsa,Brass,NGA,NG006001,NG00,January,1997,0,0
Nigeria,Delta,Burutu,NGA,NG010004,NG01,January,1997,0,0
Nigeria,Akwa Ibom,Ikot Abasi,NGA,NG003013,NG00,January,1997,0,0
Nigeria,Kano,Dawakin Kudu,NGA,NG020009,NG02,January,1997,0,0
Nigeria,Ebonyi,Ohaozara,NGA,NG011011,NG01,January,1997,0,0
Nigeria,Enugu,Enugu East,NGA,NG014003,NG01,January,1997,0,0
Nigeria,Taraba,Jalingo,NGA,NG035007,NG03,January,1997,0,0
Nigeria,Cross River,Bekwara,NGA,NG009006,NG00,January,1997,0,0
Nigeria,Ebonyi,Ikwo,NGA,NG011007,NG01,January,1997,0,0
